,name_original,address,address_clean,barangay,district,major_division,sub_division,category,source_reference,open_hours,close_hours,longitude,latitude,frequency_mon_fri,frequency_saturday,frequency_sunday,bus_route,data_source
1730,Tandang Sora Shrine,228 Banlat Road,"228 Banlat Road, Quezon City, Philippines",Tandang Sora,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.044744,14.6841441,#N/A,#N/A,#N/A,#N/A,Administrative data
1731,Tarhaville,"Blk 13 Lapu-lapu, Tarhaville Village, Brgy. Sta Lucia","Blk 13 Lapu-lapu, Tarhaville Village, Barangay Sta Lucia, Quezon City, Philippines",Sta. Lucia,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0557351,14.7048475,#N/A,#N/A,#N/A,#N/A,Administrative data
1732,Tawid Sapa I,"Blk. 10 Phase 1, Kalinga Tawid Sapa, Brgy. Kaligayahan","Blk. 10 Phase 1, Kalinga Tawid Sapa, Barangay Kaligayahan, Quezon City, Philippines",Kaligayahan,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1733,Tawid Sapa II,"Zone 1 cor. Sampalucan St., Tawid Sapa, Brgy. Kaligayahan","Zone 1 corner Sampalucan Street, Tawid Sapa, Barangay Kaligayahan, Quezon City, Philippines",Kaligayahan,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1746,the b.u.g.s. learning and development center,"blk 23 , lot 8, paolo st., greenfields iii, san agustin, quezon city, ncr, 1117","blk 23 , lot 8, paolo Street, greenfields iii, san agustin, quezon city, ncr, 1117, Philippines",San Agustin,5,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,121.0341843,14.7322918,#N/A,#N/A,#N/A,#N/A,Administrative data
1801,thinkerbel kids play and learning center inc.,"23 sf-11, congressional town center, congressional ave., bahay toro, quezon city, ncr, 1106","23 sf-11, congressional town center, congressional Avenue, bahay toro, quezon city, ncr, 1106, Philippines",Bahay Toro,1,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,121.0399981,14.6713665,#N/A,#N/A,#N/A,#N/A,Administrative data
1804,Tibagan,11 Road Harmony St.,"11 Road Harmony Street, Quezon City, Philippines",Balingasa,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0025605,14.6520166,#N/A,#N/A,#N/A,#N/A,Administrative data
1806,tiny thinkers learning center inc.,"113, west avenue , bungad, quezon city, ncr, 1105","113, west avenue , bungad, quezon city, ncr, 1105, Philippines",Bungad,1,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,121.028899,14.6514023,#N/A,#N/A,#N/A,#N/A,Administrative data
1807,tlc sped & therapy center,"1015 , unit d, salvador avenue, jordan plaines subdivision, sta. monica, quezon city, ncr, 1117","1015 , unit d, salvador avenue, jordan plaines subdivision, sta. monica, quezon city, ncr, 1117, Philippines",Sta. Monica,5,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,5:00PM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1823,Unang Sigaw,3 North Diversion Rd. Balintawak,"3 North Diversion Road Balintawak, Quezon City, Philippines",Unang Sigaw,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,120.9992032,14.6586169,#N/A,#N/A,#N/A,#N/A,Administrative data
1824,Unit IV,"Unit IV, Plaza Riverside, Brgy. Commonwealth","Unit IV, Plaza Riverside, Barangay Commonwealth, Quezon City, Philippines",Commonwealth,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1825,Unit V,"Ground floor, DCC Paulate Bldg., Bato bato St., Brgy. Commonwealth","Ground floor, DCC Paulate Building, Bato bato Street, Barangay Commonwealth, Quezon City, Philippines",Holy Spirit,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0806376,14.6930986,#N/A,#N/A,#N/A,#N/A,Administrative data
1830,Upper Everlasting,"Upper Everlasting, Brgy. Payatas","Upper Everlasting, Barangay Payatas, Quezon City, Philippines",Payatas,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.091662,14.6998752,#N/A,#N/A,#N/A,#N/A,Administrative data
1831,Upper Nawasa,"Unit VII Upper NAWASA, Brgy. Commonwealth","Unit VII Upper NAWASA, Barangay Commonwealth, Quezon City, Philippines",Commonwealth,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1833,Vasra I,40 Forestry St.,"40 Forestry Street, Quezon City, Philippines",Vasra,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0446598,14.6614155,#N/A,#N/A,#N/A,#N/A,Administrative data
1834,Vasra II,40 Forestry St.,"40 Forestry Street, Quezon City, Philippines",Vasra,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0446598,14.6614155,#N/A,#N/A,#N/A,#N/A,Administrative data
1836,Veterans Area I,"Area I, Freedom Park St. Veterans Village","Area I, Freedom Park Street Veterans Village, Quezon City, Philippines",Pasong Tamo,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1837,Veterans Area II,Corner Diego Silang St. Veterans Village,"Corner Diego Silang Street Veterans Village, Quezon City, Philippines",Pasong Tamo,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0653899,14.6837959,#N/A,#N/A,#N/A,#N/A,Administrative data
1838,Veterans Area III,7th Street Veterans Village Area 3,"7th Street Veterans Village Area 3, Quezon City, Philippines",Pasong Tamo,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.065388,14.683173,#N/A,#N/A,#N/A,#N/A,Administrative data
1839,Veterans Village,#3 Palomaria St. cor. Bansalangin St.,"3 Palomaria Street corner Bansalangin Street, Quezon City, Philippines",Veterans Village,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0247935,14.6536742,#N/A,#N/A,#N/A,#N/A,Administrative data
1841,Villa Beatriz,"Villa Beatriz Extension, Brgy. Matandang Balara","Villa Beatriz Extension, Barangay Matandang Balara, Quezon City, Philippines",Matandang Balara,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0756984,14.6734632,#N/A,#N/A,#N/A,#N/A,Administrative data
1842,Villa Maria Clara,"Barangay Hall, Rajah Matanda, Brgy. Villa Maria Clara","Barangay Hall, Rajah Matanda, Barangay Villa Maria Clara, Quezon City, Philippines",Villa Maria Clara,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
1843,Villa Nova,"St. Michael St. cor Francis St. Villanova Subd., Brgy. Nagkaisang Nayon","Street Michael Street corner Francis Street Villanova Subdivision, Barangay Nagkaisang Nayon, Quezon City, Philippines",Nagkaisang Nayon,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.026431,14.7226644,#N/A,#N/A,#N/A,#N/A,Administrative data
1851,Villareal,"3rd floor Old Barangay Hall Building, Quirino Highway, Brgy. Gulod","3rd floor Old Barangay Hall Building, Quirino Highway, Barangay Gulod, Quezon City, Philippines",Gulod,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0384751,14.7125392,#N/A,#N/A,#N/A,#N/A,Administrative data
1856,Visayan Hills,"Visayan Hills, Brgy. Matandang Balara","Visayan Hills, Barangay Matandang Balara, Quezon City, Philippines",Matandang Balara,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0822821,14.6656506,#N/A,#N/A,#N/A,#N/A,Administrative data
1868,West Kamias,"2nd Flr. Barangay Hall, 2 K 10th St., , Brgy. West Kamias","2nd Floor Barangay Hall, 2 K 10th Street, Barangay West Kamias, Quezon City, Philippines",West Kamias,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0476714,14.6287495,#N/A,#N/A,#N/A,#N/A,Administrative data
1877,Zebra,"San Simon St. (back of Brgy. Annex), Brgy. Holy Spirit","San Simon Street (back of Barangay Annex), Barangay Holy Spirit, Quezon City, Philippines",Holy Spirit,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0848165,14.6899039,#N/A,#N/A,#N/A,#N/A,Administrative data
1886,Kaingin Bukid II Day Care Center,"J2W6+P96, Kanluran Street, Balingasa, Quezon City",#N/A,Apolonio Samson,6,Childcare,#N/A,Day care center,Google API,#N/A,#N/A,121.0108806,14.6467992,#N/A,#N/A,#N/A,#N/A,Google API
1888,Yakap Day Care Center,"M285+4GJ, Howmart Rd, Quezon City",#N/A,Baesa,6,Childcare,#N/A,Day care center,Google API,#N/A,#N/A,121.0087482,14.665332,#N/A,#N/A,#N/A,#N/A,Google API
1889,Barangay Day Care Center,"Barangay Samson Apolonio, Barangay Hall , F. Carlos Street, Baesa , 1106 Quezon City , Metro Manila",#N/A,Baesa,6,Childcare,#N/A,Day care center,Google API,#N/A,#N/A,121.012153,14.662249,#N/A,#N/A,#N/A,#N/A,Google API
1890,Yakap Day Care Center,"Planas Site I, 34 Planas III, Quezon City",#N/A,Bagong Lipunan ng Crame,4,Childcare,#N/A,Day care center,Google API,#N/A,#N/A,121.0513029,14.6144041,#N/A,#N/A,#N/A,#N/A,Google API
1891,Little Anne Learning Center,"24 Road 9, Bagong Pag-ASA , 1105 Quezon City , Metro Manila, 24 Rd 9, Bagong Pag-asa, Quezon City",#N/A,Bagong Pag-asa,1,Childcare,#N/A,Child learning center,Google API,#N/A,#N/A,121.0334749,14.6622138,#N/A,#N/A,#N/A,#N/A,Google API
1892,Day Care Center,"Liban, A. Bonifacio Ext., Quezon City",#N/A,Bagong Silangan,2,Childcare,#N/A,Day care center,Google API,#N/A,#N/A,121.1107434,14.6974791,#N/A,#N/A,#N/A,#N/A,Google API
1893,Headstart Play & Learn Daycare Center,"P425+2G2, Quezon City",#N/A,Bagong Silangan,2,Childcare,#N/A,Day care center,Google API,#N/A,#N/A,121.1087555,14.6999866,#N/A,#N/A,#N/A,#N/A,Google API
1894,Promise Land Child Development Center,"P466+QQ5, Quezon City",#N/A,Bagong Silangan,2,Childcare,#N/A,Child development centers and supervised neighborhood play,Google API,#N/A,#N/A,121.1119945,14.7118777,#N/A,#N/A,#N/A,#N/A,Google API
1895,Pook Pag-asa Child Development Center,"Blk 1, M3VX+HHH, Lot 13 Pook Pag-asa St, Brgy, Quezon City",#N/A,Bagong Silangan,2,Childcare,#N/A,Child development centers and supervised neighborhood play,Google API,#N/A,#N/A,121.0990015,14.6939365,#N/A,#N/A,#N/A,#N/A,Google API
1896,Bonifacio Daycare Center,"Area 5, Mabuhay St., Bagong Silangan, Quezon City",#N/A,Bagong Silangan,2,Childcare,#N/A,Day care center,Google API,#N/A,#N/A,121.1103999,14.7046075,#N/A,#N/A,#N/A,#N/A,Google API
1898,Phase 4 Daycare And Livelihood Center,Quezon City,#N/A,Bagong Silangan,2,Childcare,#N/A,Day care center,Google API,#N/A,#N/A,121.1105883,14.7131075,#N/A,#N/A,#N/A,#N/A,Google API
1901,Early Achievers Learning Center,"177 Congressional Ave, Project 8, Quezon City",#N/A,Bahay Toro,1,Childcare,#N/A,Child learning center,Google API,#N/A,#N/A,121.0312264,14.6661392,#N/A,#N/A,#N/A,#N/A,Google API
1902,Beautiful Mindworks Learning Hub,"3C, 3rd Floor SPICET Building, Visayas Ave, Brgy, Quezon City",#N/A,Bahay Toro,1,Childcare,#N/A,Child learning center,Google API,#N/A,#N/A,121.0432191,14.6714028,#N/A,#N/A,#N/A,#N/A,Google API
1903,Barangay Baclaran Daycare Center,"M29F+7HF, Winter Dr, Project 8, Quezon City",#N/A,Bahay Toro,1,Childcare,#N/A,Day care center,Google API,#N/A,#N/A,121.0239231,14.6681977,#N/A,#N/A,#N/A,#N/A,Google API
1904,Quezon City Day Care and Livelihood Center,"M279+PWX, Rd 19, Project 8, Quezon City",#N/A,Bahay Toro,1,Childcare,#N/A,Day care center,Google API,#N/A,#N/A,121.019874,14.6643667,#N/A,#N/A,#N/A,#N/A,Google API
1907,Rogerian Children's Learning Center,"17, 1100 Rd 23, Project 8, Quezon City",#N/A,Bahay Toro,1,Childcare,#N/A,Child learning center,Google API,#N/A,#N/A,121.0184412,14.6683366,#N/A,#N/A,#N/A,#N/A,Google API
1908,Bright Tree Child Care Development and Learning Center,"84 Mindanao Avenue, Project 6, Quezon City",#N/A,Bahay Toro,1,Childcare,#N/A,Child development centers and supervised neighborhood play,Google API,#N/A,#N/A,121.0323602,14.6695727,#N/A,#N/A,#N/A,#N/A,Google API
1909,Rusurrecion Child Development and Learning Center,"39, Balingasa Street, corner Bonifacio Street, Balintawak, Quezon City",#N/A,Balingasa,1,Childcare,#N/A,Child development centers and supervised neighborhood play,Google API,#N/A,#N/A,120.9975401,14.651278,#N/A,#N/A,#N/A,#N/A,Google API
1911,Brilliant Kids Christian Child Development Center,"47 Kamias, Quezon City",#N/A,Balingasa,1,Childcare,#N/A,Child development centers and supervised neighborhood play,Google API,#N/A,#N/A,120.9997319,14.652209,#N/A,#N/A,#N/A,#N/A,Google API
1912,Yakap Daycare Center,"M232+5PR, Eleven Rd, Quezon City",#N/A,Balingasa,1,Childcare,#N/A,Day care center,Google API,#N/A,#N/A,121.0017651,14.6529892,#N/A,#N/A,#N/A,#N/A,Google API
1914,5 Kids,"3, Batasan-San Mateo Road, Quezon City",#N/A,Batasan Hills,2,Childcare,#N/A,Day care center,Google API,#N/A,#N/A,121.1007528,14.686941,#N/A,#N/A,#N/A,#N/A,Google API
1915,MB Learning Center Batasan,"206, Quezon City",#N/A,Batasan Hills,2,Childcare,#N/A,Child learning center,Google API,#N/A,#N/A,121.0959494,14.6876543,#N/A,#N/A,#N/A,#N/A,Google API
1919,Freedom Park III & IV Daycare Center,"M3VV+44C, Fortune Street Fredoom Park 3, Quezon City",#N/A,Batasan Hills,2,Childcare,#N/A,Day care center,Google API,#N/A,#N/A,121.0927557,14.6927994,#N/A,#N/A,#N/A,#N/A,Google API
1920,Little Dolphins Learning Center,"Block 23 Lot 10, Gabriella Silang Street, Quezon City",#N/A,Batasan Hills,2,Childcare,#N/A,Child learning center,Google API,#N/A,#N/A,121.0882596,14.6804518,#N/A,#N/A,#N/A,#N/A,Google API
1922,Yakap Day Care Center,"M3PX+6WJ, Alton St, Quezon City",#N/A,Batasan Hills,2,Childcare,#N/A,Day care center,Google API,#N/A,#N/A,121.099776,14.6855468,#N/A,#N/A,#N/A,#N/A,Google API
1923,Yakap Day Care Center,"M3RR+F8V, 1126 Kalayaan B, Quezon City",#N/A,Batasan Hills,2,Childcare,#N/A,Day care center,Google API,#N/A,#N/A,121.0906924,14.6908023,#N/A,#N/A,#N/A,#N/A,Google API
1926,Acadream Learning Center,"Unit 210, West Ave Residences, 77 West Ave, Project 7, Quezon City",#N/A,Bungad,1,Childcare,#N/A,Child learning center,Google API,#N/A,#N/A,121.0285126,14.6497873,#N/A,#N/A,#N/A,#N/A,Google API
1927,kapalaran daycare,"2030 Kapalaran, Quezon City",#N/A,Commonwealth,2,Childcare,#N/A,Day care center,Google API,#N/A,#N/A,121.0878401,14.7068096,#N/A,#N/A,#N/A,#N/A,Google API
1928,Purok 16 Day Care and Livelihood Center,"Adarna Extension, Purok 16, Quezon City",#N/A,Commonwealth,2,Childcare,#N/A,Day care center,Google API,#N/A,#N/A,121.0755073,14.6953659,#N/A,#N/A,#N/A,#N/A,Google API
1929,LITEX DAYCARE CENTER,"P34Q+QC5, Manila Gravel Pit Rd, Commonwealth, Quezon City",#N/A,Commonwealth,2,Childcare,#N/A,Day care center,Google API,#N/A,#N/A,121.0886121,14.7068839,#N/A,#N/A,#N/A,#N/A,Google API
1930,Lower Everlasting Child Development Center (yakap),"P32V+F4P, Payatas, Quezon City",#N/A,Commonwealth,2,Childcare,#N/A,Child development centers and supervised neighborhood play,Google API,#N/A,#N/A,121.0928398,14.7012198,#N/A,#N/A,#N/A,#N/A,Google API
1931,Yakap Day Care Center,"M3XH+2QP, Pilot Drive, Quezon City",#N/A,Commonwealth,2,Childcare,#N/A,Day care center,Google API,#N/A,#N/A,121.0794424,14.6976054,#N/A,#N/A,#N/A,#N/A,Google API
1932,Sto. Domingo Yakap Day Care Center,"St. Anthony St. Corner 0024 St. Paul St. Republic Avenue, Holy Spirit, 1127 Quezon City, Saint Anthony Street, Novaliches, Quezon City",#N/A,Commonwealth,2,Childcare,#N/A,Day care center,Google API,#N/A,#N/A,121.0717187,14.6949738,#N/A,#N/A,#N/A,#N/A,Google API
1933,God's Children Learning Center,"Lot 11 Block 11, Lanzones Street Dona Nicasia Puyat Subdivision, Payatas B, Quezon City",#N/A,Commonwealth,2,Childcare,#N/A,Child learning center,Google API,#N/A,#N/A,121.091612,14.709309,#N/A,#N/A,#N/A,#N/A,Google API
1934,Lower Everlasting Daycare Center,"P33R+27H, Pinagkaisa, Quezon City",#N/A,Commonwealth,2,Childcare,#N/A,Day care center,Google API,#N/A,#N/A,121.0907268,14.7025641,#N/A,#N/A,#N/A,#N/A,Google API
1935,Kids Heaven Intervation learning Center,"M3XP+36H, Martan St, Quezon City",#N/A,Commonwealth,2,Childcare,#N/A,Child learning center,Google API,#N/A,#N/A,121.0856347,14.6976795,#N/A,#N/A,#N/A,#N/A,Google API
1937,Santo Niño Commonwealth Learning Center Inc.,"87 San Diego St, Commonwealth, Quezon City",#N/A,Commonwealth,2,Childcare,#N/A,Child learning center,Google API,#N/A,#N/A,121.0808496,14.6956625,#N/A,#N/A,#N/A,#N/A,Google API
1938,Culiat Maternal and Child Care Center,"M382+VM3, Casanova Dr Ext, Quezon City",#N/A,Culiat,6,Childcare,#N/A,Day care center,Google API,#N/A,#N/A,121.0516599,14.6671359,#N/A,#N/A,#N/A,#N/A,Google API
1939,St. Mark's Child Development Center Incorporated,"St. Mark's Child Development Center Incorporated, 251 Tandang Sora Avenue, Banlat, Quezon City",#N/A,Culiat,6,Childcare,#N/A,Child development centers and supervised neighborhood play,Google API,#N/A,#N/A,121.049786,14.672829,#N/A,#N/A,#N/A,#N/A,Google API
1941,Our Lady of Montecelli Learning Center,"69 San Pedro Bautista, San Francisco del Monte, Quezon City",#N/A,Damayan,1,Childcare,#N/A,Child learning center,Google API,#N/A,#N/A,121.0127417,14.6371915,#N/A,#N/A,#N/A,#N/A,Google API
1943,Progressive Little Saints Learning Center Incorporated,"51 10th St, Mariana, Quezon City",#N/A,Damayang Lagi,4,Childcare,#N/A,Child learning center,Google API,#N/A,#N/A,121.0259395,14.6174091,#N/A,#N/A,#N/A,#N/A,Google API
1946,Yakap Day Care Center,"38 Kapiligan, Quezon City",#N/A,Doña Imelda,4,Childcare,#N/A,Day care center,Google API,#N/A,#N/A,121.0195324,14.6104674,#N/A,#N/A,#N/A,#N/A,Google API
